epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.898,1.03112,2.77192,0.51763,0.65663,1.19365,0.99058,0.98417,0.99364,0.80715,0.98681,0.98034,0.9837,0.83462,0.82709,0.69862,0.10351,0.49006,1.06711,0.000666251,0.000666251,0.000666251
2,393.075,0.84501,1.44169,0.34335,0.49598,1.06766,0.99377,0.99551,0.99485,0.8269,0.98925,0.99077,0.99443,0.88699,0.72536,0.50552,0.08512,0.32334,1.00262,0.00126694,0.00126694,0.00126694
3,579.93,0.7724,1.20528,0.27144,0.45236,1.02986,0.99672,0.99598,0.99492,0.86149,0.99382,0.99298,0.99488,0.92518,0.61213,0.38657,0.02195,0.30216,0.95965,0.00180163,0.00180163,0.00180163
4,765.757,0.711,1.02587,0.23371,0.41581,1.00394,0.99594,0.99563,0.99487,0.88904,0.99501,0.99267,0.9949,0.94106,0.55124,0.33999,0.01372,0.25847,0.93487,0.001703,0.001703,0.001703
5,951.43,0.66297,0.88854,0.20856,0.3832,0.98249,0.99471,0.9972,0.99496,0.89971,0.99656,0.99509,0.99494,0.94803,0.49844,0.2949,0.01291,0.23592,0.91824,0.001604,0.001604,0.001604
6,1136.77,0.62309,0.79972,0.19244,0.36224,0.96661,0.99684,0.99766,0.99497,0.9103,0.99744,0.99594,0.99488,0.95818,0.47001,0.24783,0.01078,0.21829,0.90078,0.001505,0.001505,0.001505
7,1322.94,0.59421,0.73611,0.17564,0.34399,0.95496,0.9973,0.9975,0.9949,0.91504,0.997,0.99704,0.99492,0.95923,0.44717,0.24432,0.00872,0.21561,0.89626,0.001406,0.001406,0.001406
8,1508.81,0.56453,0.66923,0.16145,0.32752,0.94491,0.99632,0.99782,0.99499,0.92247,0.99476,0.99626,0.99497,0.96851,0.4152,0.20519,0.00575,0.19593,0.88292,0.001307,0.001307,0.001307
9,1694.26,0.54446,0.62189,0.14869,0.3166,0.9366,0.99648,0.9975,0.99495,0.92457,0.99525,0.99626,0.99494,0.96938,0.41075,0.1963,0.00671,0.19264,0.8802,0.001208,0.001208,0.001208
10,1879.71,0.52728,0.58122,0.13856,0.30586,0.92985,0.99587,0.99782,0.99496,0.92934,0.99583,0.99782,0.99497,0.96941,0.38739,0.18541,0.00437,0.18514,0.87189,0.001109,0.001109,0.001109
11,2081.46,0.42704,0.23288,0.02183,0.22885,0.87738,0.99815,0.9986,0.99493,0.93604,0.99786,0.99828,0.99492,0.97568,0.36029,0.15449,0.00147,0.1748,0.86091,0.00101,0.00101,0.00101
12,2266.42,0.39828,0.20213,0.01812,0.21233,0.86479,0.9972,0.99888,0.99495,0.94061,0.99676,0.99844,0.99494,0.97681,0.34184,0.14205,0.00176,0.16884,0.85464,0.000911,0.000911,0.000911
13,2451.62,0.37607,0.18106,0.01555,0.20104,0.85571,0.99766,0.99793,0.99493,0.94303,0.99812,0.99704,0.99495,0.97905,0.32651,0.13115,0.00129,0.16219,0.8484,0.000812,0.000812,0.000812
14,2637.21,0.35509,0.16547,0.0142,0.18918,0.84686,0.99859,0.99778,0.99495,0.94543,0.99844,0.99638,0.99494,0.98164,0.31438,0.12279,0.00088,0.15059,0.84476,0.000713,0.000713,0.000713
15,2822.82,0.34057,0.15024,0.01381,0.18114,0.84259,0.9986,0.99916,0.99494,0.95143,0.99854,0.99906,0.99494,0.98285,0.29848,0.11108,0.00081,0.14456,0.83911,0.000614,0.000614,0.000614
16,3008.55,0.32555,0.1398,0.0123,0.17322,0.83504,0.99904,0.99938,0.99496,0.95385,0.99811,0.99844,0.99494,0.98409,0.29111,0.10459,0.00101,0.14173,0.83635,0.000515,0.000515,0.000515
17,3194.14,0.30777,0.12626,0.01174,0.16462,0.8311,0.99882,0.99891,0.99493,0.956,0.99882,0.99891,0.99493,0.98607,0.27941,0.09635,0.00085,0.13425,0.83227,0.000416,0.000416,0.000416
18,3380.3,0.29025,0.11434,0.01012,0.15551,0.82423,0.99865,0.99922,0.99494,0.95722,0.9985,0.99906,0.99494,0.98825,0.27117,0.09026,0.00054,0.13012,0.82817,0.000317,0.000317,0.000317
19,3566.09,0.2748,0.10353,0.01092,0.14644,0.82002,0.99891,0.99922,0.99497,0.95833,0.99875,0.99906,0.99497,0.98814,0.26542,0.08825,0.00067,0.1315,0.82747,0.000218,0.000218,0.000218
20,3751.87,0.26187,0.09468,0.0099,0.13975,0.81707,0.99891,0.99788,0.99493,0.95851,0.99875,0.99773,0.99493,0.9883,0.26015,0.08515,0.00063,0.12865,0.82521,0.000119,0.000119,0.000119
